0.446	0.442	0.113	
0.599	0.054	0.348	
0.397	0.106	0.497	
0.243	0.074	0.683	
0.074	0.219	0.707	
0.326	0.064	0.61	
0.067	0.854	0.079	
0.256	0.127	0.618	
0.057	0.904	0.038	
0.044	0.45	0.506	
0.164	0.064	0.772	
0.647	0.062	0.291	
0.111	0.162	0.727	
0.007	0.592	0.401	
0.569	0.212	0.218	
0.233	0.678	0.089	
0.708	0.086	0.206	
0.281	0.59	0.129	
0.233	0.508	0.258	
0.949	0.049	0.002	
0.173	0.266	0.561	
0.28	0.226	0.494	
0.177	0.735	0.088	
0.507	0.219	0.274	
0.769	0.192	0.039	
0.07	0.515	0.415	
0.242	0.678	0.081	
0.551	0.351	0.098	
0.621	0.197	0.182	
0.401	0.051	0.547	
0.43	0.385	0.185	
0.345	0.632	0.023	
0.054	0.577	0.369	
0.235	0.048	0.718	
0.708	0.01	0.282	
0.01	0.658	0.332	
0.134	0.189	0.677	
0.358	0.297	0.345	
0.368	0.601	0.031	
0.868	0.044	0.089	
0.703	0.143	0.154	
0.397	0.12	0.483	
0.153	0.298	0.55	
0.567	0.231	0.203	
0.079	0.526	0.395	
0.068	0.063	0.869	
0.001	0.272	0.728	
0.032	0.04	0.928	
0.506	0.387	0.107	
0.266	0.35	0.384	
0.206	0.684	0.109	
0.121	0.545	0.333	
0.383	0.616	0.001	
0.174	0.518	0.308	
0.115	0.502	0.383	
0.344	0.334	0.322	
0.342	0.425	0.233	
0.164	0.789	0.047	
0.259	0.031	0.71	
0.952	0.004	0.044	
0.58	0.166	0.254	
0.763	0.218	0.019	
0.874	0.1	0.026	
0.224	0.292	0.484	
0.121	0.309	0.57	
0.257	0.512	0.231	
0.025	0.871	0.104	
0.421	0.526	0.052	
0.297	0.044	0.66	
0.465	0.065	0.47	
0.056	0.073	0.871	
0.018	0.079	0.903	
0.331	0.476	0.193	
0.406	0.353	0.242	
0.092	0.143	0.765	
0.298	0.024	0.678	
0.327	0.532	0.141	
0.036	0.781	0.184	
0.269	0.206	0.526	
0.136	0.778	0.086	
0.441	0.127	0.432	
0.118	0.672	0.21	
0.752	0.195	0.053	
0.896	0.084	0.02	
0.286	0.258	0.456	
0.246	0.012	0.742	
0.008	0.27	0.722	
0.426	0.028	0.546	
0.21	0.731	0.059	
0.109	0.533	0.358	
0.667	0.034	0.299	
0.031	0.203	0.766	
0.576	0.19	0.234	
0.079	0.344	0.578	
0.518	0.084	0.398	
0.49	0.133	0.377	
0.274	0.104	0.622	
0.181	0.781	0.038	
0.481	0.006	0.513	
0.339	0.486	0.175	
0.486	0.344	0.17	
0.201	0.091	0.708	
0.181	0.444	0.375	
0.01	0.385	0.604	
0.144	0.337	0.519	
0.048	0.45	0.502	
0.021	0.411	0.569	
0.519	0.014	0.467	
0.405	0.313	0.282	
0.338	0.5	0.163	
0.101	0.084	0.815	
0.271	0.335	0.394	
0.702	0.17	0.128	
0.354	0.198	0.447	
0.21	0.066	0.724	
0.398	0.477	0.125	
0.692	0.132	0.175	
0.341	0.536	0.123	
0.358	0.416	0.226	
0.055	0.765	0.181	
0.643	0.052	0.306	
0.081	0.566	0.354	
0.05	0.724	0.226	
0.72	0.248	0.032	
0.154	0.086	0.76	
0.144	0.313	0.543	
0.734	0.148	0.118	
0.715	0.27	0.016	
0.81	0.016	0.175	
0.609	0.289	0.102	
0.192	0.757	0.05	
0.173	0.748	0.079	
0.015	0.433	0.552	
0.39	0.019	0.591	
0.81	0.116	0.074	
0.453	0.287	0.26	
0.476	0.37	0.153	
0.071	0.537	0.393	
0.256	0.614	0.13	
0.412	0.34	0.248	
0.121	0.193	0.686	
0.095	0.167	0.738	
0.694	0.111	0.195	
0.104	0.212	0.684	
0.221	0.496	0.283	
0.303	0.598	0.099	
0.684	0.077	0.24	
0.754	0.092	0.155	
0.07	0.585	0.345	
0.733	0.203	0.064	
0.364	0.342	0.294	
0.054	0.217	0.728	
0.342	0.097	0.561	
0.45	0.443	0.106	
0.594	0.058	0.347	
0.107	0.529	0.364	
0.912	0.016	0.072	
0.152	0.127	0.721	
0.288	0.327	0.384	
0.472	0.436	0.092	
0.766	0.032	0.201	
0.162	0.57	0.268	
0.08	0.249	0.671	
0.365	0.014	0.621	
0.363	0.099	0.538	
0.133	0.384	0.483	
0.386	0.135	0.479	
0.202	0.793	0.005	
0.253	0.733	0.015	
0.688	0.307	0.006	
0.394	0.446	0.16	
0.107	0.677	0.215	
0.018	0.215	0.767	
0.917	0.072	0.011	
0.384	0.138	0.478	
0.095	0.434	0.471	
0.384	0.344	0.272	
0.208	0.635	0.157	
0.269	0.4	0.331	
0.4	0.005	0.595	
0.522	0.405	0.073	
0.406	0.289	0.304	
0.609	0.049	0.342	
0.22	0.049	0.731	
0.748	0.237	0.014	
0.12	0.395	0.485	
0.18	0.045	0.775	
0.043	0.165	0.792	
0.111	0.13	0.759	
0.156	0.346	0.498	
0.531	0.306	0.163	
0.364	0.212	0.424	
0.013	0.927	0.061	
0.598	0.095	0.307	
0.546	0.028	0.426	
0.293	0.017	0.69	
0.0	0.129	0.871	
0.091	0.867	0.041	
0.364	0.121	0.515	
0.677	0.069	0.254	
0.61	0.326	0.064	
0.322	0.141	0.537	
0.286	0.326	0.388	
0.687	0.011	0.302	
0.53	0.383	0.087	
0.486	0.032	0.482	
0.304	0.673	0.024	
0.092	0.395	0.513	
0.425	0.179	0.396	
0.142	0.66	0.198	
0.092	0.616	0.293	
0.532	0.454	0.014	
0.392	0.352	0.256	
0.162	0.106	0.732	
0.253	0.131	0.617	
0.205	0.349	0.446	
0.455	0.059	0.486	
0.731	0.256	0.013	
0.078	0.911	0.011	
0.226	0.592	0.181	
0.132	0.729	0.139	
0.119	0.36	0.521	
0.536	0.045	0.419	
0.444	0.326	0.23	
0.249	0.576	0.175	
0.105	0.865	0.03	
0.056	0.622	0.321	
0.341	0.487	0.172	
0.032	0.429	0.538	
0.19	0.247	0.563	
0.374	0.331	0.295	
0.847	0.065	0.088	
0.218	0.445	0.337	
0.32	0.291	0.389	
0.008	0.898	0.094	
0.016	0.362	0.622	
0.082	0.755	0.163	
0.335	0.219	0.446	
0.425	0.495	0.08	
0.44	0.385	0.174	
0.192	0.382	0.426	
0.177	0.339	0.483	
0.314	0.635	0.051	
0.155	0.38	0.464	
0.146	0.027	0.827	
0.305	0.124	0.571	
0.288	0.473	0.239	
0.398	0.345	0.257	
0.428	0.151	0.421	
0.381	0.322	0.297	
0.064	0.241	0.695	
0.008	0.703	0.289	
0.378	0.137	0.485	
0.01	0.91	0.08	
0.019	0.18	0.801	
0.298	0.314	0.388	
0.311	0.319	0.37	
0.855	0.026	0.119	
0.1	0.771	0.13	
0.131	0.342	0.527	
0.888	0.084	0.028	
0.164	0.591	0.245	
0.229	0.52	0.251	
0.052	0.834	0.115	
0.324	0.09	0.586	
0.158	0.728	0.115	
0.187	0.413	0.4	
0.07	0.754	0.176	
0.453	0.418	0.129	
0.797	0.085	0.118	
0.053	0.274	0.672	
0.64	0.07	0.289	
0.675	0.305	0.021	
0.07	0.436	0.494	
0.575	0.271	0.154	
0.276	0.567	0.157	
0.129	0.798	0.073	
0.332	0.118	0.551	
0.125	0.587	0.289	
0.429	0.038	0.533	
0.449	0.531	0.02	
0.238	0.365	0.397	
0.082	0.738	0.18	
0.618	0.052	0.331	
0.128	0.708	0.163	
0.486	0.283	0.231	
0.461	0.174	0.364	
0.794	0.134	0.072	
0.484	0.037	0.479	
0.438	0.211	0.351	
0.123	0.402	0.474	
0.413	0.255	0.332	
0.166	0.377	0.457	
